60 1080
0 4 450339
0 5 192419
0 7 380395
0 9 558866
0 10 210559
0 12 99699
0 13 215548
0 14 116277
0 16 507473
0 17 237700
0 18 135631
0 20 342678
0 21 234648
0 22 417787
0 25 116314
0 26 465915
0 27 3475
0 28 337248
0 29 188238
0 31 380003
0 33 328328
0 34 201890
0 37 331773
0 38 387492
0 39 365101
0 40 221534
0 44 432357
0 46 228826
0 50 82943
0 51 516513
0 54 230031
0 56 386574
0 59 203491
1 2 364686
1 5 259007
1 8 192991
1 9 559399
1 10 450807
1 11 96134
1 12 162735
1 14 180098
1 15 173716
1 18 115982
1 19 237683
1 20 497293
1 21 208146
1 22 106463
1 24 576345
1 26 141487
1 27 223774
1 28 10875
1 30 311567
1 31 562981
1 32 224957
1 36 12435
1 37 253485
1 38 437528
1 40 359206
1 44 533506
1 45 472158
1 46 520211
1 47 319542
1 49 273296
1 52 522385
1 54 70864
1 55 200019
1 56 344370
1 57 315648
1 58 429833
1 59 541353
2 3 316110
2 5 440922
2 6 443729
2 7 90225
2 8 136694
2 9 489080
2 10 542056
2 15 402617
2 16 140522
2 17 149904
2 19 32535
2 20 29582
2 22 111523
2 23 558514
2 26 84390
2 27 328384
2 28 362105
2 30 255789
2 32 42233
2 33 86139
2 34 375056
2 37 517354
2 39 271016
2 40 32887
2 41 152753
2 42 267998
2 43 203278
2 44 399537
2 45 222839
2 46 551724
2 47 239775
2 48 418519
2 49 366609
2 50 123912
2 52 438697
2 53 385890
2 55 201654
2 56 513963
2 57 14237
3 4 146981
3 5 418049
3 6 289961
3 8 71698
3 9 29145
3 10 439366
3 11 128
3 13 310264
3 14 444674
3 16 230967
3 18 294885
3 19 163174
3 21 514896
3 24 291707
3 26 141555
3 29 483475
3 30 132554
3 31 312238
3 32 526623
3 34 66926
3 36 359065
3 38 368931
3 39 425205
3 40 342490
3 43 183821
3 44 478665
3 45 526418
3 46 289502
3 47 365612
3 48 38412
3 49 225059
3 50 159274
3 51 509065
3 52 92011
3 53 440819
3 55 294870
3 57 183193
3 59 134154
4 5 456430
4 6 405296
4 7 8807
4 8 76452
4 12 22424
4 13 479502
4 14 287581
4 15 110531
4 21 262849
4 24 382372
4 28 438187
4 29 60169
4 30 2964
4 35 344258
