60 540
0 3 48863
0 8 128897
0 10 34283
0 13 10765
0 14 57664
0 16 125223
0 18 11620
0 22 29109
0 24 52407
0 25 96152
0 27 56761
0 31 71483
0 32 21325
0 41 115641
0 45 86497
0 50 130794
0 51 41492
0 52 66072
0 53 144420
0 56 19833
0 58 124946
1 4 37924
1 9 16642
1 11 40531
1 14 116134
1 16 121007
1 22 85754
1 23 22612
1 26 133992
1 30 67509
1 31 114713
1 34 141112
1 40 145463
1 41 20229
1 43 94610
1 44 64367
1 59 117577
2 7 119084
2 9 77812
2 16 11358
2 20 43016
2 23 22389
2 26 19346
2 29 1924
2 30 87815
2 33 497
2 34 137311
2 35 93685
2 37 88307
2 39 77431
2 40 67797
2 44 84407
2 46 27488
2 47 22683
2 51 2497
2 52 117151
2 55 57832
3 4 67262
3 6 28070
3 7 92003
3 11 29051
3 14 76364
3 19 118106
3 22 37450
3 23 37184
3 25 141103
3 33 140646
3 35 96572
3 37 20434
3 39 81082
3 40 33934
3 43 73932
3 44 63470
3 49 48516
3 50 21359
3 51 67089
3 55 97952
4 10 102441
4 11 8592
4 12 49669
4 13 938
4 14 83477
4 15 83787
4 18 43008
4 23 124978
4 32 61322
4 34 124510
4 35 110591
4 43 108256
4 48 12798
4 51 28477
5 7 18257
5 8 78217
5 10 33853
5 12 111256
5 13 101801
5 16 3578
5 17 82884
5 20 104237
5 22 58969
5 36 71710
5 38 93054
5 41 126712
5 44 25194
5 45 37614
5 46 58959
5 47 26638
5 51 93039
5 52 129329
5 53 87199
5 58 62925
6 7 58054
6 15 141581
6 17 97640
6 19 69606
6 25 110654
6 28 100287
6 43 118490
6 44 68312
6 46 52762
6 47 20267
6 50 125015
6 52 91369
6 53 6872
6 58 90015
6 59 132317
7 9 50768
7 11 22173
7 15 38095
7 20 88935
7 28 111410
7 32 49164
7 35 79797
7 39 1334
7 41 29583
7 46 77410
7 48 59113
7 54 5833
7 56 72286
7 57 70485
8 9 134034
8 10 108481
8 15 84709
8 19 117084
8 21 65217
8 23 50259
8 27 44927
8 31 140651
8 33 31221
8 35 64197
8 40 128437
8 41 143570
9 10 69638
9 11 62105
9 13 111293
9 15 129502
9 21 16685
9 22 128746
9 24 18439
9 25 90503
9 26 17266
9 33 135351
9 34 35451
9 35 1703
9 38 59892
9 42 127219
9 43 138710
9 45 74678
9 54 89883
9 55 33033
9 57 95668
10 11 82355
10 12 133574
10 16 87409
10 22 82995
10 30 32087
10 33 40743
10 40 137348
10 49 123700
10 50 12440
10 51 34263
10 54 1629
10 56 46491
10 57 12799
11 17 131172
11 21 10720
11 27 12881
11 30 118274
11 31 112334
11 37 131973
11 41 102199
11 44 83385
11 45 140380
11 56 1132
12 15 125217
12 16 104611
12 17 136373
12 23 415
12 30 9115
12 37 72208
12 38 107504
12 40 57570
12 41 76810
12 42 60160
12 43 31241
12 46 18289
12 49 100136
12 56 108533
13 15 106291
13 30 39009
13 31 127492
13 35 73296
13 37 31231
13 40 47688
13 48 19881
13 52 67240
14 15 43130
14 16 33256
14 17 93476
14 19 824
14 20 1473
14 22 6258
14 23 96807
14 31 143867
14 38 35628
14 39 67872
14 43 16752
14 50 88679
14 54 21949
14 56 73583
15 16 134354
15 18 612
15 19 91204
15 22 124219
15 23 100025
15 25 138832
15 28 122603
15 29 127653
15 31 2384
15 39 55280
15 41 102694
15 43 103697
15 44 88769
15 46 7978
15 49 3567
15 52 119511
15 55 93036
16 21 32213
16 22 87274
16 24 104519
16 25 35732
16 28 122082
16 29 76147
16 30 95242
16 40 18817
16 41 122019
16 43 116648
16 49 90142
16 50 118743
16 51 89521
16 54 91690
17 18 55388
17 20 131369
17 21 34534
17 22 44595
17 23 128965
17 27 12436
17 28 137775
17 29 66616
17 30 91445
17 32 56215
17 41 19608
17 42 1724
17 47 115535
17 52 89652
17 59 5389
18 19 139574
18 20 4390
18 26 93320
18 27 108546
18 28 129582
18 30 111916
18 33 26234
18 37 118409
18 38 127001
18 42 44490
18 46 30659
18 48 133451
18 53 118007
18 57 45222
18 58 82503
19 22 11317
19 28 95695
19 31 95800
19 35 106968
19 39 29032
19 45 105812
19 48 10803
19 49 7374
19 51 109336
19 53 29428
19 57 75165
19 58 110737
19 59 142033
20 22 36735
20 28 5486
20 29 141621
20 30 98709
20 31 103672
20 41 21100
20 43 78356
20 44 131494
20 48 103391
20 54 55990
21 23 22323
21 25 20304
21 26 45124
21 28 27884
21 35 28944
21 37 661
21 38 32617
21 41 84331
21 46 20799
21 48 133330
21 51 14456
21 53 75484
21 54 113531
21 56 19061
21 57 121559
22 30 139583
22 31 22697
22 33 137022
22 35 101486
22 36 112583
22 40 123913
22 43 118983
22 45 4826
22 46 20899
22 47 130099
22 52 79940
23 24 104164
23 30 28961
23 37 44833
23 38 143103
23 40 15653
23 41 81140
23 50 41307
23 54 50055
24 27 38398
24 29 29982
24 31 88126
24 33 33772
24 35 62682
24 36 42644
24 37 16717
24 38 79743
24 41 119841
24 42 43169
24 43 51013
24 47 140191
24 48 10376
24 54 75618
25 28 139843
25 29 42085
25 30 69378
25 33 10161
25 41 68705
25 47 11322
25 49 24943
25 52 129183
25 54 123521
25 57 123789
26 28 22948
26 33 12182
26 37 110806
26 43 117469
26 49 45383
26 56 121824
26 58 101268
27 28 109172
27 29 138843
27 30 1049
27 31 135203
27 32 6590
27 35 49533
27 41 111322
27 43 109916
27 44 63135
27 45 36265
27 54 90726
27 55 12347
27 58 72312
28 30 71842
28 34 8322
28 41 930
28 44 126591
28 47 23258
28 48 63082
28 55 3594
28 57 86965
28 59 63807
29 37 30069
29 38 109272
29 40 126191
29 43 106243
29 44 69207
29 45 125299
29 48 64625
29 51 132402
29 53 51387
29 55 32910
29 57 113975
30 36 20827
30 40 70490
30 41 57555
30 49 30921
30 56 19025
31 33 28455
31 35 30746
31 40 31664
31 42 92574
31 43 2427
31 47 133537
31 51 124568
31 52 119910
31 54 79815
31 55 86792
31 58 132429
32 34 36133
32 38 41894
32 40 94650
32 44 98834
32 45 129020
32 47 44581
32 48 111542
32 51 22524
32 52 96033
32 57 48941
32 58 118884
33 36 15428
33 37 60589
33 46 133176
33 52 114541
33 53 26609
34 35 17193
34 39 81633
34 41 42958
34 43 48924
34 47 120317
34 49 26365
34 51 11159
34 52 29287
34 54 75085
34 56 63561
34 57 99398
34 58 50054
35 46 111689
35 51 93352
35 53 131443
35 55 68671
35 57 34143
36 40 55425
36 42 4170
36 43 44384
36 46 127254
36 47 33861
36 49 25084
36 53 142350
36 55 78428
36 58 80454
36 59 59139
37 39 103863
37 41 70331
37 43 20398
37 47 71145
37 48 21183
37 50 79637
37 52 26859
37 54 31121
37 57 129039
38 42 95863
38 43 60602
38 44 93786
38 45 3447
38 47 116032
38 55 104894
38 59 941
39 42 56071
39 43 77760
39 44 123403
39 47 50045
39 48 49014
39 58 127380
40 43 79042
40 51 79818
41 50 136100
41 55 74286
41 59 130841
42 45 134034
42 51 14221
42 55 71539
42 59 49757
43 44 81541
43 45 90428
43 47 88758
43 52 53272
43 57 71679
44 46 44688
44 48 139903
44 52 24975
44 53 76017
44 54 143488
44 57 81787
45 49 52693
45 50 123436
45 52 63398
45 53 8432
46 47 60699
46 50 101847
46 51 56249
46 52 62477
46 56 116070
47 51 100632
47 56 121154
47 59 120012
48 56 82474
49 53 57028
49 54 71166
49 58 70967
51 53 58401
51 59 16688
52 54 99447
52 58 118431
53 56 42021
54 55 34798
54 58 72778
55 56 48554
55 58 91794
55 59 3884
56 58 84411
