40 360
0 7 16823
0 8 44906
0 9 33216
0 10 3041
0 14 43958
0 20 54197
0 26 38542
0 27 47806
0 28 25216
0 34 51261
0 38 19051
1 2 33922
1 3 27128
1 5 44513
1 9 28806
1 11 45993
1 27 4533
1 30 290
1 37 10745
1 39 10068
2 0 17770
2 17 45157
2 18 35490
2 24 12941
2 28 18674
2 29 30866
2 30 3928
2 32 7440
2 38 11703
2 39 48308
3 7 44616
3 10 38570
3 21 8667
3 26 24867
3 31 16424
3 32 26858
3 33 32111
3 34 58500
4 5 51002
4 8 627
4 14 57281
4 18 56035
4 19 9432
4 20 64017
4 31 24162
4 37 45797
5 3 52966
5 4 1295
5 8 16186
5 9 52944
5 11 51550
5 13 5902
5 14 52327
5 15 63668
5 16 25719
5 18 27482
5 25 11856
5 27 50925
5 32 55291
5 33 60439
5 36 44354
5 39 53563
6 4 46453
6 5 53569
6 8 17165
6 13 63778
6 15 13175
6 16 7536
6 24 40310
6 27 61931
7 0 40976
7 1 50649
7 3 22862
7 4 35874
7 12 15193
7 13 3515
7 22 34964
7 25 49882
7 31 40019
7 34 41266
7 36 32289
7 38 17391
8 1 50121
8 2 217
8 3 18523
8 7 51734
8 13 46813
8 14 31042
8 15 45879
8 16 8972
8 20 17917
8 27 31336
8 33 52771
8 35 46141
9 5 36880
9 8 38536
9 10 25092
9 11 18451
9 12 460
9 14 32722
9 23 57128
9 29 12127
9 37 18391
10 2 23363
10 6 56485
10 11 101
10 32 22181
11 0 63135
11 5 40760
11 15 50069
11 22 14093
11 24 35087
11 32 3064
11 38 59717
12 7 45606
12 10 8938
12 19 8298
12 22 56421
12 23 32634
12 24 33500
12 25 8901
12 27 26340
12 29 47288
12 35 23503
12 39 55678
13 12 9877
13 15 18190
13 16 40766
13 28 48609
13 31 48675
13 33 49428
13 35 59384
13 38 58145
14 1 33611
14 20 42711
14 23 52920
14 28 35505
14 32 47149
14 33 12426
15 2 45752
15 11 63902
15 17 4136
15 19 59884
15 25 579
15 26 51290
15 32 52856
15 34 14349
15 37 23635
16 2 9517
16 7 6637
16 8 48681
16 9 31103
16 10 1108
16 11 60900
16 17 37035
16 23 40
16 28 13846
16 29 57484
16 31 61571
16 36 35912
17 4 37153
17 5 559
17 14 33815
17 18 25754
17 19 1475
17 22 54076
17 24 59418
17 26 13839
17 30 40930
17 33 39102
17 37 15013
18 33 61943
18 37 12236
19 6 25230
19 8 32454
19 10 10891
19 15 18192
19 16 17287
19 18 42429
19 27 16656
19 29 47410
19 34 51495
19 38 39819
20 3 52180
20 7 244
20 8 21075
20 10 37447
20 11 42045
20 15 8514
20 19 47317
21 2 36074
21 6 41275
21 12 49708
21 18 44260
21 23 18286
21 33 56687
21 35 21841
21 37 21591
22 2 12396
22 10 59396
22 11 3578
22 32 57539
23 0 39491
23 7 3164
23 15 41949
23 17 36258
23 18 37909
23 26 52885
23 29 64502
23 35 32098
24 1 61112
24 5 57075
24 6 39298
24 8 49301
24 17 6747
24 26 15398
24 33 63720
24 37 23410
25 2 771
25 3 10177
25 4 37614
25 6 48568
25 9 62373
25 10 40729
25 13 37155
25 15 45423
25 21 28981
25 22 60075
25 24 20836
25 29 52650
25 36 16066
26 5 46304
26 13 30143
26 16 12749
26 19 62772
26 22 5655
26 25 51267
26 32 26735
26 35 37599
26 36 206
27 4 22582
27 10 20766
27 21 64762
27 28 12145
27 31 9789
27 36 25714
28 2 38828
28 3 7681
28 4 44371
28 5 43533
28 7 59165
28 8 56091
28 13 50993
28 21 24405
28 29 12132
28 30 27594
28 35 992
28 36 34940
29 0 63213
29 7 6405
29 15 34875
29 16 61263
29 26 8196
29 30 4487
29 32 15461
29 35 39048
29 38 1123
29 39 61522
30 4 51404
30 7 14021
30 8 43358
30 10 63243
30 13 53028
30 16 21528
30 29 57683
31 9 35399
31 18 181
31 21 36490
31 25 40290
31 32 23625
31 36 41272
32 2 52574
32 3 8087
32 5 36741
32 7 55965
32 9 59114
32 10 34232
32 16 54700
32 25 61804
32 27 6915
32 29 17335
32 36 11261
33 6 19130
33 9 46855
33 10 109
33 12 40436
33 13 3169
33 19 8330
33 21 10312
33 25 59308
33 30 14477
33 35 63665
33 36 20511
34 10 58141
34 11 6545
34 12 64670
34 13 28382
34 16 15793
34 17 33821
34 27 38490
34 35 13546
34 38 26556
35 1 6032
35 7 8795
35 11 10694
35 12 36246
35 15 25320
35 19 7070
35 24 50285
35 30 35090
35 33 12545
36 3 44537
36 10 19163
36 19 13379
36 23 17349
36 24 20107
36 26 5267
36 29 38143
36 32 30196
37 0 31312
37 3 14385
37 7 56602
37 9 56713
37 10 44540
37 12 17081
37 16 61397
37 23 6398
37 33 6427
37 34 22171
37 39 36904
38 0 9053
38 2 36897
38 9 38380
38 11 6867
38 14 42329
38 15 16509
38 19 13075
38 29 36651
38 31 64780
38 39 4592
39 6 55431
39 10 3983
39 12 16737
39 18 35839
39 23 44672
39 24 16078
39 26 21718
39 29 49854
39 32 16233
39 37 45350
