40 680
0 1 172453
0 2 142270
0 4 11280
0 6 61834
0 7 195650
0 9 212453
0 10 217617
0 11 182013
0 12 199865
0 13 107048
0 14 161469
0 15 205444
0 16 188441
0 17 59561
0 18 79557
0 19 78948
0 20 210942
0 21 228777
0 22 109004
0 26 71966
0 27 227649
0 28 152515
0 29 191065
0 30 165529
0 31 117762
0 32 186637
0 33 204588
0 34 141989
0 35 103299
0 36 53030
0 37 94043
0 38 98464
0 39 101565
1 2 160582
1 3 18052
1 5 89714
1 6 33867
1 7 30091
1 9 68018
1 10 80026
1 11 121902
1 12 56340
1 13 128399
1 14 18069
1 15 187039
1 16 38823
1 17 84929
1 18 13179
1 19 57762
1 20 200557
1 21 42471
1 22 69945
1 24 85251
1 25 40012
1 27 76618
1 28 31894
1 30 92820
1 32 33265
1 33 26621
1 34 187812
1 35 20421
1 37 131612
1 38 141654
1 39 124484
2 3 161116
2 4 93752
2 6 170423
2 7 115018
2 8 175860
2 9 26030
2 10 218843
2 11 227577
2 12 141335
2 13 44229
2 15 38564
2 16 219667
2 17 184490
2 19 85927
2 20 209737
2 21 51243
2 22 224994
2 25 67722
2 26 170651
2 27 105840
2 28 34670
2 29 71003
2 30 141139
2 31 151698
2 32 221329
2 33 229083
2 35 165149
2 36 160573
2 37 177183
2 38 68333
3 5 51371
3 6 60787
3 7 204647
3 8 209014
3 9 222166
3 10 64338
3 11 139937
3 12 94935
3 13 60725
3 14 74783
3 16 70653
3 17 20549
3 18 76097
3 19 5761
3 20 106487
3 21 191185
3 22 223973
3 23 137032
3 24 82230
3 25 91071
3 26 220430
3 27 210337
3 28 174101
3 31 42528
3 32 13942
3 33 174692
3 34 189675
3 35 12967
3 36 218655
3 37 68222
3 39 149006
4 5 168499
4 6 197299
4 7 186926
4 8 141934
4 9 108891
4 11 182414
4 12 98701
4 14 8574
4 15 59844
4 16 92522
4 18 119174
4 19 97529
4 20 64488
4 21 193668
4 22 80186
4 23 208047
4 25 209828
4 26 139768
4 27 107458
4 28 52763
4 29 195814
4 30 9601
4 31 175278
4 32 86111
4 33 112350
4 34 55564
4 36 122144
4 37 195055
4 38 142526
4 39 64423
5 7 174441
5 8 214769
5 10 27735
5 11 143034
5 12 162811
5 13 123535
5 14 64474
5 15 159932
5 16 228401
5 17 168904
5 18 120124
5 19 48722
5 20 21483
5 21 72358
5 22 42025
5 23 158197
5 25 137945
5 26 10477
5 27 143003
5 28 25668
5 29 206890
5 30 200894
5 32 50038
5 33 201286
5 35 96208
5 36 125411
5 37 158090
5 38 225321
5 39 31695
6 7 208864
6 8 142169
6 9 45409
6 10 186503
6 11 192592
6 12 166129
6 13 19314
6 15 5018
6 16 17071
6 18 173120
6 19 150458
6 20 80923
6 21 91467
6 23 38810
6 24 138951
6 25 60864
6 26 209596
6 27 168294
6 28 121155
6 29 57161
6 30 65542
6 31 34111
6 32 28466
6 33 147094
6 34 211787
6 35 100756
6 36 119205
6 38 153635
6 39 91796
7 8 74095
7 9 178782
7 10 37577
7 11 111869
7 12 150424
7 13 214197
7 14 29609
7 15 228139
7 16 129392
7 17 12688
7 18 121684
7 19 157491
7 20 37541
7 21 108606
7 22 90500
7 23 41439
7 24 132387
7 25 131850
7 28 214167
7 29 84584
7 30 97554
7 31 120475
7 32 100103
7 33 217717
7 34 104519
7 35 160482
7 38 123667
8 9 92899
8 10 3637
8 11 136080
8 12 146526
8 13 224816
8 14 195766
8 15 185331
8 16 55031
8 17 227078
8 18 79150
8 19 134480
8 20 205931
8 21 67494
8 22 229715
8 23 9967
8 24 214073
8 25 53290
8 27 32062
8 28 148523
8 29 179253
8 30 205584
8 31 193482
8 33 212442
8 34 55283
8 36 10913
8 37 25455
8 38 100501
8 39 16935
9 10 120142
9 11 8204
9 12 181556
9 13 84465
9 14 23420
9 15 132738
9 16 22827
9 17 192654
9 18 171012
9 19 201117
9 20 58331
9 21 13263
9 23 134432
9 24 101861
9 25 129228
9 26 59750
9 27 26517
9 28 9470
9 29 110911
9 30 108789
9 32 187579
9 33 38805
