100 4950
0 1 263139
0 2 3088802
0 3 11778575
0 4 1309978
0 5 11179822
0 6 11723414
0 7 8150919
0 8 6523528
0 9 12056825
0 10 7360181
0 11 625951
0 12 8932812
0 13 3350952
0 14 3057453
0 15 1610409
0 16 1499341
0 17 7054430
0 18 7623752
0 19 9189129
0 20 10218275
0 21 8550009
0 22 1974289
0 23 7318519
0 24 12095149
0 25 2491148
0 26 11601578
0 27 7811216
0 28 1368434
0 29 7409989
0 30 11050441
0 31 8281270
0 32 551162
0 33 10789275
0 34 11691418
0 35 10826847
0 36 9897134
0 37 4981500
0 38 4515305
0 39 5623831
0 40 4149189
0 41 1807068
0 42 5944690
0 43 11053731
0 44 11292094
0 45 606178
0 46 11731620
0 47 5233071
0 48 11247331
0 49 5525294
0 50 845603
0 51 7951652
0 52 104458
0 53 8745260
0 54 747531
0 55 9412262
0 56 1852321
0 57 1467904
0 58 3834757
0 59 1183713
0 60 3576521
0 61 1644676
0 62 10801596
0 63 4762075
0 64 7063535
0 65 2688279
0 66 2450140
0 67 10788506
0 68 8341689
0 69 3724724
0 70 3145998
0 71 1108322
0 72 2087843
0 73 9077427
0 74 11501769
0 75 9225147
0 76 10403619
0 77 4868817
0 78 3499792
0 79 6015853
0 80 3392503
0 81 2901425
0 82 1360667
0 83 1308426
0 84 51572
0 85 546661
0 86 9282882
0 87 4149505
0 88 4878374
0 89 11006897
0 90 887375
0 91 2008564
0 92 5060846
0 93 10461201
0 94 5463053
0 95 5226451
0 96 6610432
0 97 12160229
0 98 7953138
0 99 10490465
1 2 6906176
1 3 5068585
1 4 4019985
1 5 6679754
1 6 2094093
1 7 5863987
1 8 11928297
1 9 8855504
1 10 5095511
1 11 1482879
1 12 382809
1 13 6250558
1 14 6555309
1 15 5369212
1 16 1762428
1 17 3944926
1 18 1865756
1 19 751247
1 20 8091440
1 21 2923491
1 22 3415692
1 23 4485496
1 24 1668138
1 25 1600065
1 26 12079499
1 27 6304879
1 28 4433022
1 29 4315326
1 30 3395425
1 31 6745907
1 32 7740704
1 33 2947969
1 34 5591855
1 35 7778281
1 36 7059425
1 37 5156199
1 38 3529006
1 39 7693893
1 40 3011882
1 41 1880944
1 42 527388
1 43 11259024
1 44 4454256
1 45 1994356
1 46 2005466
1 47 6671673
1 48 10211581
1 49 55299
1 50 2855825
1 51 3444712
1 52 3135285
1 53 11657860
1 54 11212768
1 55 7826410
1 56 9347399
1 57 10168802
1 58 910135
1 59 7737833
1 60 1938880
1 61 6974526
1 62 9278787
1 63 4403709
1 64 357889
1 65 7816257
1 66 3338213
1 67 1562181
1 68 11566581
1 69 2274119
1 70 11169214
1 71 8136898
1 72 11316851
1 73 9103423
1 74 4472590
1 75 7317727
1 76 3571816
1 77 3887495
1 78 6343547
1 79 3767913
1 80 639013
1 81 5742824
1 82 7186749
1 83 5636660
1 84 3310145
1 85 2856318
1 86 989343
1 87 6990285
1 88 8197170
1 89 10961484
1 90 2726526
1 91 11043145
1 92 2280486
1 93 4018615
1 94 6212701
1 95 7230081
1 96 2521323
1 97 1328411
1 98 6493570
1 99 3611888
2 3 9559251
2 4 2567463
2 5 3158513
2 6 65444
2 7 4292296
2 8 5044938
2 9 4279962
2 10 4360838
2 11 10683909
2 12 10864359
2 13 4591534
2 14 8847485
2 15 3362683
2 16 3007027
2 17 2299921
2 18 1306607
2 19 817362
2 20 9656210
2 21 8358802
2 22 4419821
2 23 5322222
2 24 12181671
2 25 7816171
2 26 8332379
2 27 6778192
2 28 6489788
2 29 1623246
2 30 9506097
2 31 10238554
2 32 11500746
2 33 8575214
2 34 7534321
2 35 1421756
2 36 7186441
2 37 10299040
2 38 644518
2 39 3395870
2 40 7532372
2 41 8249378
