40 780
0 1 3932
0 2 14002
0 3 90958
0 4 77793
0 5 5554
0 6 173956
0 7 290354
0 8 80028
0 9 218661
0 10 253601
0 11 48394
0 12 259183
0 13 26955
0 14 163506
0 15 191007
0 16 66911
0 17 185368
0 18 140729
0 19 254504
0 20 45007
0 21 278257
0 22 94941
0 23 253448
0 24 199843
0 25 201335
0 26 239992
0 27 160164
0 28 113530
0 29 220347
0 30 224153
0 31 92551
0 32 127486
0 33 195483
0 34 239485
0 35 265981
0 36 220609
0 37 216905
0 38 110328
0 39 278247
1 2 237187
1 3 279011
1 4 161981
1 5 106310
1 6 130916
1 7 81280
1 8 89495
1 9 141720
1 10 161779
1 11 122594
1 12 72511
1 13 22212
1 14 115709
1 15 152345
1 16 255574
1 17 183028
1 18 94415
1 19 232870
1 20 152566
1 21 300657
1 22 194410
1 23 217574
1 24 225596
1 25 31186
1 26 36165
1 27 14691
1 28 107887
1 29 57459
1 30 300102
1 31 53029
1 32 19059
1 33 46295
1 34 75734
1 35 9805
1 36 96762
1 37 164531
1 38 71743
1 39 11188
2 3 185189
2 4 49432
2 5 66547
2 6 35661
2 7 270502
2 8 303261
2 9 291420
2 10 26200
2 11 69291
2 12 81405
2 13 128777
2 14 294414
2 15 88560
2 16 145389
2 17 200709
2 18 172575
2 19 8817
2 20 101691
2 21 84100
2 22 9183
2 23 54232
2 24 149932
2 25 135235
2 26 63152
2 27 283665
2 28 2480
2 29 245166
2 30 207470
2 31 43068
2 32 191499
2 33 83939
2 34 39945
2 35 238447
2 36 196816
2 37 249285
2 38 135735
2 39 279179
3 4 147244
3 5 224323
3 6 56814
3 7 211400
3 8 165459
3 9 250135
3 10 223831
3 11 156366
3 12 255387
3 13 277352
3 14 277925
3 15 174476
3 16 33998
3 17 298219
3 18 247248
3 19 292086
3 20 253582
3 21 203344
3 22 235729
3 23 6309
3 24 297506
3 25 105250
3 26 103634
3 27 82279
3 28 289479
3 29 229596
3 30 56280
3 31 63928
3 32 135501
3 33 247003
3 34 302207
3 35 64192
3 36 275072
3 37 155410
3 38 33884
3 39 221483
4 5 256869
4 6 35332
4 7 181022
4 8 184399
4 9 171701
4 10 199802
4 11 193557
4 12 21597
4 13 113856
4 14 266325
4 15 247157
4 16 121782
4 17 117098
4 18 251568
4 19 190206
4 20 101533
4 21 158596
4 22 111138
4 23 239914
4 24 173800
4 25 2421
4 26 39657
4 27 239895
4 28 179210
4 29 100787
4 30 235279
4 31 101160
4 32 210934
4 33 295833
4 34 125942
4 35 275415
4 36 85634
4 37 91408
4 38 109695
4 39 268346
5 6 12520
5 7 223297
5 8 238954
5 9 149705
5 10 292896
5 11 99081
5 12 5027
5 13 129707
5 14 189845
5 15 78362
5 16 262033
5 17 148759
5 18 227829
5 19 231905
5 20 294664
5 21 261717
5 22 74730
5 23 102309
5 24 40366
5 25 164712
5 26 77070
5 27 235837
5 28 38809
5 29 214036
5 30 178294
5 31 155421
5 32 77592
5 33 161783
5 34 171276
5 35 205161
5 36 270228
5 37 196092
5 38 284093
5 39 68724
6 7 236893
