100 2300
0 3 1538156
0 7 970077
0 15 707466
0 23 2449952
0 25 625046
0 34 349698
0 42 2068876
0 52 1266015
0 57 576050
0 58 563034
0 59 1167609
0 60 2584420
0 61 835050
0 64 409461
0 66 2387137
0 72 1839082
0 76 1396523
0 84 1919528
0 85 1580686
0 86 2297361
0 87 565548
0 88 1012295
1 11 1110208
1 19 598313
1 36 2468008
1 41 2094224
1 44 2119603
1 49 891495
1 50 2552832
1 52 1155424
1 53 2328984
1 59 1959574
1 61 2189486
1 69 731669
1 74 369488
1 75 698043
1 78 2491750
1 80 1570379
1 88 2195281
1 89 475682
1 90 865846
1 91 456568
1 96 2335474
2 1 488670
2 6 2615681
2 8 965313
2 18 1198806
2 22 2530034
2 29 998085
2 30 79766
2 47 246961
2 50 277635
2 53 1769257
2 57 1054840
2 58 1093893
2 64 1292310
2 66 609551
2 73 129792
2 77 1728231
2 79 144579
2 88 1263259
2 89 2011486
2 92 1553905
3 1 1958724
3 2 1682898
3 12 1636948
3 15 2483290
3 16 2575549
3 20 121019
3 22 125127
3 24 1963264
3 35 770077
3 36 2175469
3 37 1599327
3 66 997963
3 80 2365834
3 82 1776401
3 83 1935031
3 85 1010530
3 86 2529518
3 90 126952
3 93 815211
4 9 1805138
4 13 1193167
4 17 2077734
4 24 1082931
4 26 172457
4 41 170901
4 47 1927347
4 50 1775242
4 58 807835
4 72 297302
4 74 698994
4 79 1646178
4 86 964134
4 89 2411872
4 98 802017
5 8 1951113
5 10 1369199
5 13 388864
5 16 279349
5 19 888867
5 22 444473
5 30 2618830
5 41 2088455
5 50 1918061
5 55 255239
5 56 1156594
5 63 2360498
5 65 2558165
5 66 143551
5 73 189417
5 76 601824
5 89 382569
5 93 929576
5 96 1740267
5 98 413396
5 99 76058
6 1 1605131
6 3 1590561
6 5 1065686
6 7 1096010
6 9 2567826
6 15 2322238
6 16 1369515
6 18 2513024
6 19 396566
6 24 427924
6 28 1691409
6 30 2436457
6 40 2191124
6 41 1366193
6 45 913661
6 47 2231556
6 49 2002952
6 51 1149306
6 52 1252471
6 57 200024
6 58 177379
6 59 1154315
6 62 436293
6 64 2395572
6 65 24569
6 66 1424195
6 74 1085022
6 75 41402
6 76 306976
6 78 1460063
6 87 128344
6 88 1821748
6 90 1116191
6 92 1863434
6 94 1063746
7 1 236554
7 2 276938
7 9 1147352
7 13 1386473
7 16 668803
7 22 183276
7 26 1076461
7 30 2510884
7 33 91566
7 37 369729
7 40 1757165
7 44 1704976
7 46 1934606
7 48 209308
7 55 2060301
7 58 1340717
7 72 598405
7 80 1738565
7 89 2336145
7 90 1748483
7 99 2338822
8 4 2479534
8 9 2517899
8 11 128211
8 22 372696
8 23 425021
8 24 963727
8 25 1748184
8 27 548112
8 28 635278
8 32 922058
8 37 282266
8 42 1221316
8 43 502526
8 49 645313
8 50 1708227
8 51 2381207
8 52 2510608
8 53 611612
8 57 2017666
8 64 1037462
8 67 754784
8 75 1841226
8 76 1148769
8 80 988583
8 83 999975
8 85 2506930
8 87 1210877
8 91 1732228
8 92 2311400
8 93 1496490
8 94 780271
8 95 1631419
8 97 1711944
8 98 280121
9 0 247706
9 1 903952
9 6 633173
9 17 1253746
9 18 1654839
9 28 2579548
9 42 1289251
9 44 477735
9 47 2126849
9 54 2421975
9 55 2029912
9 59 968338
9 61 479746
9 62 1674660
9 70 2408238
9 72 1541210
9 74 44034
9 76 1564337
9 79 874970
9 80 482314
9 83 1120300
9 85 1189109
10 9 2481152
10 14 1197656
10 18 1634584
10 22 2444763
10 25 2507201
10 26 1663820
10 30 2436127
10 31 534934
10 32 203038
10 50 1194518
10 60 190639
10 61 1721733
10 67 44862
10 69 2413591
10 70 2401130
10 75 1294971
10 87 2485709
10 89 1898142
11 4 1172655
11 8 2625092
11 16 2631423
11 23 1441566
11 29 2244619
11 35 1245493
11 37 1746502
11 38 144423
11 45 1474107
11 49 1952480
11 52 1704976
11 53 245539
11 57 2387991
11 60 2639739
11 61 1893466
11 66 435999
11 68 1666159
11 71 2226786
11 75 2178843
11 76 902427
11 80 2281624
11 81 1299066
11 86 659702
11 88 293681
11 91 1462419
11 93 1601706
11 96 1889346
12 5 1335414
12 9 2499442
12 10 475374
12 11 1073340
12 20 2237588
12 24 1174290
12 29 1650457
12 33 2071624
12 39 740877
12 48 218515
12 55 1101108
12 57 807304
12 62 1049701
12 63 1551832
12 66 2569268
12 71 1524358
12 73 332645
12 78 752660
12 79 223223
12 82 1734938
12 84 521550
12 91 832744
12 94 1904049
12 97 1296708
13 1 1885378
13 7 1506223
13 17 2122635
13 19 2583992
13 23 2008053
13 29 749341
13 32 2573627
13 36 2172911
13 39 1826231
13 45 1213867
13 46 291711
13 56 658961
13 58 292670
13 66 2034063
13 77 2010898
13 88 724141
13 92 1844704
13 93 1045776
13 94 2061188
13 95 988064
13 99 181522
14 3 1311892
14 12 2260762
14 15 2621800
14 18 2563622
14 22 816994
14 24 15300
14 26 2022368
14 30 2205472
14 40 171893
14 50 1628278
14 52 1017024
14 53 2356246
14 54 2470819
14 57 1483797
14 59 374096
14 60 1157831
14 65 1327199
14 71 1847530
14 73 1973717
14 80 2215915
14 81 1191658
14 84 2517645
14 85 2539016
14 90 1455672
14 91 1540054
14 94 1102252
14 97 1911633
15 1 125414
15 3 814118
15 4 1801653
15 6 1817144
15 7 1998952
15 12 1689656
15 16 1208326
15 17 560621
15 26 2589395
15 27 1834947
15 36 364798
15 38 1388692
15 40 1452688
15 42 897455
15 45 1994366
15 47 12685
15 48 776444
15 50 63987
15 62 874722
15 71 1248752
15 82 1151024
15 89 2178606
15 92 1132706
15 94 68658
15 97 1700564
15 99 703928
16 0 1588159
16 14 1338480
16 17 1462957
16 18 227481
16 19 98283
16 24 1266888
16 26 1103746
16 27 2357054
16 43 1133650
16 44 2166749
16 50 1874933
16 52 129342
16 53 2478321
16 55 2187720
16 57 835136
16 60 2253002
16 61 2423036
16 62 2554120
16 63 1668917
16 72 1679966
16 74 2640753
16 78 2067095
16 82 1955135
16 85 162303
16 90 1028708
17 2 1252314
17 10 1495175
17 16 933068
17 18 180551
17 20 1169965
17 23 2157724
17 24 183029
17 27 214516
17 30 523314
17 31 2016716
17 32 935482
17 37 2204048
17 45 597535
17 54 264295
17 55 2306141
17 56 1927897
17 64 489140
17 66 228264
17 68 1008468
17 85 112180
17 86 761433
17 96 2080730
17 98 2210895
18 0 785336
18 1 2423549
18 4 908104
18 10 1707439
18 15 1043016
18 16 125213
18 22 356306
18 24 1454989
18 33 2377709
18 35 530645
18 40 372892
18 43 1926607
18 47 2602154
18 48 1178392
18 49 583092
18 62 371551
18 66 1822456
18 70 2620028
18 71 168450
18 74 199735
18 77 538892
18 79 389634
18 81 2050644
18 96 1282715
19 5 1880318
19 15 194279
19 17 1717315
19 24 412584
19 39 197865
19 51 1147080
19 57 2537091
19 58 1723427
19 61 77785
19 66 1646110
19 71 1082604
19 73 1059968
19 79 292769
19 83 46855
19 87 1252746
19 88 1999069
19 89 1876802
20 7 652278
20 16 1469441
20 28 1232742
20 30 2020863
20 40 1669604
20 44 2360179
20 46 1408155
20 49 2086856
20 51 2206122
20 55 1977183
20 57 581824
20 59 2554650
20 63 2042159
20 66 1790372
20 67 1734876
20 71 1158582
20 87 2471641
20 90 1540381
20 91 423568
20 92 374025
21 0 1392898
21 6 2243534
21 7 2318304
21 14 1140988
21 19 2525973
21 27 2624491
21 42 1534993
21 43 1019796
21 59 816376
21 60 243524
21 61 1470208
21 79 7080
21 82 523430
21 86 811912
21 92 1500690
22 3 963833
22 6 1482631
22 9 434612
22 12 2145284
22 13 709925
22 14 1581488
22 17 1236433
22 19 835372
22 26 282596
22 34 2143864
22 35 2347616
22 37 2580522
22 38 862760
22 45 901201
22 47 460324
22 50 2256734
22 65 977956
22 68 754066
22 70 950215
22 71 1095021
22 72 1367721
22 73 594336
22 78 348676
22 80 2203225
22 92 222545
22 93 2188447
22 96 1980448
22 99 351485
23 0 2181758
23 13 2546478
23 14 2202246
23 17 2359750
23 21 395459
23 35 219131
23 45 761394
23 48 348183
23 50 2099149
23 51 1578344
23 54 1626278
23 57 2007738
23 63 2157874
23 70 2024940
23 73 2243163
23 79 2042176
23 85 1499335
23 90 657791
23 91 1377267
23 92 1207047
23 98 590802
24 6 2526401
24 10 1202524
24 11 2130793
24 15 222214
24 25 1393476
24 32 707864
24 41 624427
24 43 1674023
24 50 168997
24 56 392147
24 59 1732942
24 60 671412
24 64 167970
24 67 1804309
24 72 120511
24 75 1594139
24 82 1595596
24 84 162963
24 99 1179278
25 1 2638607
25 6 1551154
25 7 1225945
25 10 971489
25 14 1926147
25 18 1397306
25 24 1125692
25 31 1519610
25 43 2600931
25 47 1327144
25 48 777457
25 49 1880466
25 52 2600853
25 55 2492319
25 62 61348
25 64 1328563
25 68 1727274
25 76 1010286
25 83 941313
25 89 507045
25 90 238082
25 93 2253138
25 95 16197
25 96 585333
26 4 59382
26 7 732055
26 9 2360724
26 16 2560779
26 29 1282320
26 31 1110981
26 33 588448
26 34 62029
26 35 294762
26 36 1960772
26 39 518778
26 40 803277
26 44 653851
26 55 1474233
26 62 2109680
26 64 2528607
26 70 2336704
26 72 1160026
26 73 917307
26 74 464136
26 77 2243854
26 83 1472121
26 84 1787452
26 87 1835898
26 90 1561465
26 91 2462730
26 92 1843910
26 96 1250605
26 97 972015
26 98 2326745
27 4 1598337
27 12 1086027
27 14 2167036
27 16 2552015
27 17 1367467
27 18 780095
27 31 2595613
27 36 2142340
27 40 1509671
27 51 1159466
27 54 2140324
27 62 1825986
27 63 39721
27 66 1568938
27 75 287875
27 83 286775
27 98 271743
28 3 1758273
28 5 858088
28 7 2072775
28 12 741624
28 15 396531
28 19 1156628
28 21 800875
28 22 933252
28 25 1732301
28 29 92789
28 31 225652
28 48 2632091
28 53 718138
28 55 1043410
28 57 1632660
28 59 2188655
28 60 1440678
28 61 1883272
28 68 310374
28 72 2044138
28 74 1425571
28 78 1457826
28 88 1769095
28 90 163614
28 97 2262979
28 98 2585951
28 99 737102
29 4 2561249
29 8 2169102
29 12 2159366
29 17 2528644
29 23 1718821
29 28 625006
29 31 1310408
29 32 1350964
29 38 2094360
29 41 1008250
29 43 2578466
29 46 2508129
29 47 2372378
29 50 1095320
29 55 688839
29 59 1042383
29 70 811370
29 72 2211848
29 76 178177
29 83 336902
29 86 1448409
29 89 1279131
29 90 756518
29 91 1127105
30 3 1027691
30 12 1606012
30 22 113403
30 25 1327501
30 27 2552597
30 41 2321595
30 44 1659890
30 56 1125840
30 58 1427735
30 65 1501100
30 80 1343609
30 81 698076
30 83 98305
30 85 69201
30 96 201668
31 0 1873511
31 2 153551
31 4 539351
31 10 2359520
31 14 361168
31 20 2250871
31 23 1190684
31 27 609726
31 28 525135
31 36 724245
31 44 682612
31 46 2285484
31 50 483322
31 52 414041
31 55 864080
31 57 840733
31 63 1956335
31 68 1635711
31 69 1778930
31 72 1170324
31 74 1499203
31 80 1395247
31 82 793364
31 87 1618009
31 88 690239
31 93 1528714
31 98 1178314
32 0 501936
32 1 1319093
32 4 1617258
32 12 98014
32 15 2483525
32 17 2559926
32 19 695318
32 20 2566941
32 35 472928
32 37 508047
32 42 52920
32 54 565897
32 64 1672005
32 72 1494365
32 73 321064
32 78 157678
32 80 825349
32 82 2098847
32 83 1586367
32 85 1301805
32 87 1126855
32 88 2148921
32 97 1095277
33 8 110175
33 10 1958919
33 26 1617198
33 34 2451667
33 42 1025307
33 46 1964661
