40 780
0 1 44400
0 3 222540
0 7 77123
0 13 292361
0 16 109570
0 22 73930
0 23 116680
0 25 99143
0 27 43426
0 28 14350
0 29 238570
0 30 256055
0 33 288079
0 34 9117
0 35 218658
0 36 152388
0 39 107197
1 0 7639
1 7 251986
1 8 226555
1 11 144672
1 12 81832
1 14 266272
1 15 185701
1 19 145705
1 20 89699
1 21 80181
1 22 247973
1 24 239232
1 29 300541
1 31 30755
1 36 163091
1 37 147882
2 0 61823
2 1 94247
2 3 53299
2 7 22851
2 8 59206
2 9 195874
2 12 55752
2 13 7436
2 16 236638
2 17 274909
2 18 51562
2 19 50622
2 21 118534
2 26 241916
2 28 197128
2 29 298837
2 30 243947
2 31 94781
2 32 297046
2 35 132102
2 37 106600
2 39 119563
3 4 110544
3 9 109559
3 14 57434
3 16 279974
3 18 271845
3 19 294789
3 20 262660
3 23 166292
3 26 260954
3 27 8626
3 32 208426
3 34 284091
3 35 210419
3 36 270967
3 38 189045
3 39 185568
4 2 151740
4 5 2891
4 6 62690
4 7 143806
4 9 96479
4 12 45360
4 13 198040
4 14 132422
4 16 15257
4 20 233952
4 21 213113
4 22 27851
4 23 37448
4 24 113885
4 26 217511
4 27 287664
4 28 27977
4 30 295539
4 32 258253
4 34 216854
4 35 225764
4 36 12644
4 39 32418
5 2 244898
5 6 133824
5 8 157007
5 9 172488
5 10 66201
5 11 24426
5 13 229248
5 14 101949
5 16 143817
5 18 153
5 19 211097
5 20 202832
5 21 63772
5 22 239020
5 23 161670
5 24 87258
5 25 182234
5 28 278818
5 31 292033
5 32 248823
5 34 164041
5 35 263279
5 37 302659
5 39 202697
6 0 247954
6 4 223874
6 5 201191
6 8 274155
6 9 73629
6 10 60245
6 12 179328
6 13 137270
6 14 282327
6 15 209903
6 16 68068
6 17 8662
6 19 230055
6 23 93885
6 24 282206
6 29 242830
6 36 216652
6 37 18098
6 38 77734
7 0 120264
7 1 84895
7 4 291283
7 6 135896
7 9 157081
7 19 141976
7 20 255222
7 22 60674
7 23 90638
7 26 51776
7 27 58399
7 29 98890
7 31 201644
7 34 208147
7 35 152570
7 36 188754
7 37 218232
8 1 203467
8 2 32619
8 5 123642
8 11 19717
8 12 272292
8 13 220865
8 18 251397
8 19 40460
8 22 281792
8 24 43024
8 25 200793
8 27 146386
8 29 184707
8 30 4636
