100 900
0 14 296248
0 28 162951
0 33 375378
0 43 149591
0 56 262950
0 62 262683
0 64 128031
0 75 308199
0 82 34574
0 86 282037
0 87 63394
1 4 95625
1 7 352270
1 20 380876
1 24 153739
1 41 75063
1 86 6165
2 12 277862
2 16 209380
2 46 45883
2 57 344491
2 67 378861
2 74 228320
2 86 25540
2 94 133574
3 0 237384
3 1 150256
3 6 267678
3 18 70288
3 23 163206
3 32 10061
3 37 240724
3 41 251665
3 46 345988
3 49 310000
3 56 38302
3 67 23789
4 2 255785
4 17 282721
4 26 23499
4 30 224461
4 50 19450
4 71 336827
4 75 11308
4 80 255237
4 88 102936
4 91 15086
4 94 403258
4 99 279554
5 3 358010
5 6 314081
5 23 23479
5 48 234388
5 51 203433
5 67 295583
5 77 261609
5 83 370951
5 85 378502
6 1 117405
6 13 199445
6 34 199954
6 51 259526
7 2 119423
7 10 187266
7 21 234851
7 22 227934
7 23 79432
7 31 160321
7 47 212826
7 49 261715
7 95 365768
8 4 351584
8 6 182240
8 19 81142
8 21 202961
8 24 118525
8 32 28070
8 70 105575
8 79 59350
8 91 89955
8 94 170398
9 7 294330
9 11 375682
9 37 295045
9 41 74717
9 57 342839
9 69 47552
9 70 24469
9 89 267943
9 90 233492
10 4 216981
10 8 301312
10 29 232631
10 39 119913
10 85 227484
11 12 102741
11 19 155820
11 22 157252
11 37 362321
11 46 131872
11 63 365238
11 71 291437
11 81 198749
11 89 236712
12 0 1545
12 11 311178
12 13 337750
12 15 319973
12 31 154341
12 43 192028
12 44 162092
12 53 217769
12 54 239605
12 72 338342
12 76 217902
13 6 343263
13 8 321359
13 36 201022
13 38 164290
13 49 41380
13 56 150254
13 87 7306
13 88 363849
13 91 356541
13 94 22848
14 11 276346
14 57 167121
14 60 91613
14 69 337754
14 73 343598
14 75 20413
14 76 124761
14 78 114954
14 79 362631
14 82 245139
14 83 236123
15 13 155986
15 19 351913
15 24 77411
15 75 222742
15 82 287645
15 91 285918
16 3 12712
16 35 50266
16 36 324118
16 38 244447
16 54 344603
16 73 400174
16 74 108670
16 77 91970
16 93 86352
16 95 259524
17 14 180651
17 29 96621
17 35 213540
17 39 200666
17 61 107327
17 95 295341
17 96 195022
17 97 293928
18 24 313042
18 58 52804
18 74 31879
18 92 284261
19 1 127795
